datetime,kWh,date,weekday,workday,hour,week,continuous_hour
2016-01-05 22:45:00,3.36,2016-01-05,1,True,22,1,46
2016-01-05 23:00:00,3.24,2016-01-05,1,True,23,1,47
2016-01-05 23:15:00,3.3,2016-01-05,1,True,23,1,47
2016-01-05 23:30:00,3.27,2016-01-05,1,True,23,1,47
2016-01-05 23:45:00,3.3,2016-01-05,1,True,23,1,47
2016-01-06 00:00:00,3.27,2016-01-06,2,True,0,1,48
2016-01-06 00:15:00,3.33,2016-01-06,2,True,0,1,48
2016-01-06 00:30:00,3.27,2016-01-06,2,True,0,1,48
2016-01-06 00:45:00,2.97,2016-01-06,2,True,0,1,48
2016-01-06 01:00:00,2.76,2016-01-06,2,True,1,1,49
2016-01-06 01:15:00,2.67,2016-01-06,2,True,1,1,49
2016-01-06 01:30:00,2.58,2016-01-06,2,True,1,1,49
2016-01-06 01:45:00,2.58,2016-01-06,2,True,1,1,49
2016-01-06 02:00:00,2.58,2016-01-06,2,True,2,1,50
2016-01-06 02:15:00,2.52,2016-01-06,2,True,2,1,50
2016-01-06 02:30:00,2.67,2016-01-06,2,True,2,1,50
2016-01-06 02:45:00,2.58,2016-01-06,2,True,2,1,50
2016-01-06 03:00:00,2.61,2016-01-06,2,True,3,1,51
2016-01-06 03:15:00,2.61,2016-01-06,2,True,3,1,51
2016-01-06 03:30:00,2.64,2016-01-06,2,True,3,1,51
2016-01-06 03:45:00,2.61,2016-01-06,2,True,3,1,51
2016-01-06 04:00:00,2.58,2016-01-06,2,True,4,1,52
2016-01-06 04:15:00,2.67,2016-01-06,2,True,4,1,52
2016-01-06 04:30:00,2.52,2016-01-06,2,True,4,1,52
2016-01-06 04:45:00,2.64,2016-01-06,2,True,4,1,52
2016-01-06 05:00:00,2.55,2016-01-06,2,True,5,1,53
2016-01-06 05:15:00,2.61,2016-01-06,2,True,5,1,53
2016-01-06 05:30:00,2.55,2016-01-06,2,True,5,1,53
2016-01-06 05:45:00,2.64,2016-01-06,2,True,5,1,53
2016-01-06 06:00:00,2.61,2016-01-06,2,True,6,1,54
2016-01-06 06:15:00,2.79,2016-01-06,2,True,6,1,54
2016-01-06 06:30:00,3.69,2016-01-06,2,True,6,1,54
2016-01-06 06:45:00,4.23,2016-01-06,2,True,6,1,54
2016-01-06 07:00:00,4.38,2016-01-06,2,True,7,1,55
2016-01-06 07:15:00,4.35,2016-01-06,2,True,7,1,55
2016-01-06 07:30:00,4.62,2016-01-06,2,True,7,1,55
2016-01-06 07:45:00,4.86,2016-01-06,2,True,7,1,55
2016-01-06 08:00:00,5.49,2016-01-06,2,True,8,1,56
2016-01-06 08:15:00,6.36,2016-01-06,2,True,8,1,56
2016-01-06 08:30:00,7.56,2016-01-06,2,True,8,1,56
2016-01-06 08:45:00,7.14,2016-01-06,2,True,8,1,56
2016-01-06 09:00:00,7.47,2016-01-06,2,True,9,1,57
2016-01-06 09:15:00,7.89,2016-01-06,2,True,9,1,57
2016-01-06 09:30:00,8.07,2016-01-06,2,True,9,1,57
2016-01-06 09:45:00,8.43,2016-01-06,2,True,9,1,57
2016-01-06 10:00:00,8.01,2016-01-06,2,True,10,1,58
2016-01-06 10:15:00,7.56,2016-01-06,2,True,10,1,58
2016-01-06 10:30:00,7.5,2016-01-06,2,True,10,1,58
2016-01-06 10:45:00,7.8,2016-01-06,2,True,10,1,58
